grid_id,day_lst,night_lst,day_night_gap,centroid_lon,centroid_lat,dist_to_coast,elevation_mean,water_ratio,dist_to_major_river,avg_height,road_length,bldg_coverage_ratio,svf_mean,height_variance,ndvi,file_name,OID_,Shape_Leng,Shape_Area,MESH_KEYS,geometry_wkt
1,33.357628,23.013057,10.344570999999998,139.81054102777244,35.53203987970169,164.818737,10.33547659,0.0,1562.743169,,0.0,0.0,1.0,,0.328935279,bldg_1.shp,0,800.0,40000.0,"53392634,53392635,53392644,53392645","POLYGON ((139.809452 35.531128, 139.809425 35.53293, 139.811631 35.532952, 139.811657 35.531149, 139.809452 35.531128))"
2,33.729594,23.080258,10.649335999999998,139.81274666800593,35.532061614850775,179.5044919,11.57600941,0.0,1739.839453,,0.0,0.0,1.0,,0.220254253,bldg_2.shp,0,800.0,40000.0,"53392634,53392635,53392644,53392645","POLYGON ((139.811657 35.531149, 139.811631 35.532952, 139.813836 35.532974, 139.813863 35.531171, 139.811657 35.531149))"
3,33.808538,23.411568,10.39697,139.79507465159293,35.533689533883,140.4840198,3.35271193,0.0,797.9427642,12.76666667,0.0,0.170144441,0.878816594,147.0776471,0.070068896,bldg_3.shp,0,800.0,40000.0,"53392633,53392643","POLYGON ((139.793985 35.532777, 139.793958 35.53458, 139.796164 35.534602, 139.796191 35.532799, 139.793985 35.532777))"
4,33.101104,23.004149,10.096954999999998,139.812720101636,35.53386455571739,173.9128207,10.06712251,0.0,1836.68271,,0.0,0.0,1.0,,0.218986124,bldg_4.shp,0,800.0,40000.0,"53392634,53392635,53392644,53392645","POLYGON ((139.811631 35.532952, 139.811604 35.534755, 139.81381 35.534777, 139.813836 35.532974, 139.811631 35.532952))"
5,34.018845,23.145878,10.872967,139.81492579355466,35.533886251977066,170.9944738,12.18300376,0.0,2009.546836,,0.0,0.0,1.0,,0.184712507,bldg_5.shp,0,800.0,40000.0,"53392635,53392645","POLYGON ((139.813836 35.532974, 139.81381 35.534777, 139.816015 35.534799, 139.816042 35.532996, 139.813836 35.532974))"
6,34.12841,23.633695,10.494715000000003,139.7906362509174,35.535448300977286,532.9258768,3.099364933,0.0,754.6418205,43.2,0.0,3.2e-05,0.973315925,0.0,0.064428856,bldg_6.shp,0,800.0,40000.0,53392643,"POLYGON ((139.789547 35.534536, 139.78952 35.536339, 139.791726 35.536361, 139.791753 35.534558, 139.789547 35.534536))"
7,34.371295,23.176325,11.194970000000005,139.79284196837327,35.535470401961334,413.0899696,4.03392079,0.0,860.9846734,42.4,0.0,0.697611198,0.548784795,1.28,0.040981792,bldg_7.shp,0,800.0,40000.0,53392643,"POLYGON ((139.791753 35.534558, 139.791726 35.536361, 139.793931 35.536383, 139.793958 35.53458, 139.791753 35.534558))"
8,34.65126,23.447493,11.203767,139.79504768822818,35.53549246261706,314.4897669,3.679096713,0.0,967.3275263,31.1,290.4698513,0.124689496,0.910589924,383.71,0.14693523,bldg_8.shp,0,800.0,40000.0,53392643,"POLYGON ((139.793958 35.53458, 139.793931 35.536383, 139.796137 35.536405, 139.796164 35.534602, 139.793958 35.53458))"
9,34.156651,24.039711,10.116939999999996,139.79725341047774,35.535514482944315,215.8895641,2.827607563,0.0,1073.670379,6.842857143,0.0,0.032126708,0.985491192,6.322857143,0.147011905,bldg_9.shp,0,800.0,40000.0,53392643,"POLYGON ((139.796164 35.534602, 139.796137 35.536405, 139.798343 35.536427, 139.79837 35.534624, 139.796164 35.534602))"
10,33.114398,22.901432,10.212966000000002,139.81489927415575,35.53568919372122,181.9073974,11.26941913,0.0,2112.969603,,0.0,0.0,1.0,,0.209337114,bldg_10.shp,0,800.0,40000.0,53392645,"POLYGON ((139.81381 35.534777, 139.813783 35.53658, 139.815989 35.536601, 139.816015 35.534799, 139.81381 35.534777))"
